subject,predicate,object
ImpactToughness,relatedTo,Impact
Shear,relatedTo,MechanicalProperty
ImpactToughness,relatedTo,MechanicalProperty
KFactor,relatedTo,MechanicalProperty
Hardness,relatedTo,MechanicalProperty
Flexural,relatedTo,MechanicalProperty
HardnessValue,relatedTo,MechanicalProperty
PoissonRatio,relatedTo,MechanicalProperty
Flexural,isMeasuredUnderCondition,Preload
IZODArea,relatedTo,Impact
TensileStressAtBreak,relatedTo,MechanicalProperty
TensileToughness,isMeasuredUnderCondition,Conditions
TestStandard,relatedTo,MechanicalProperty
ShearModulus,relatedTo,MechanicalProperty
CompressionModulus,isMeasuredUnderCondition,Conditions
FlexuralModulus,relatedTo,Flexural
StrainRate,relatedTo,Conditions
Compression,isMeasuredUnderCondition,Conditions
Property,isMeasuredUnderCondition,Condition
CompressionStressAtYield,relatedTo,Compression
FiberTensileElongation,relatedTo,MechanicalProperty
FlexuralStressAtBreak,relatedTo,Flexural
TensileStressAtBreak,isMeasuredUnderCondition,Conditions
FlexuralModulus,relatedTo,MechanicalProperty
Compression,isMeasuredUnderCondition,StrainRate
TensileToughness,relatedTo,Tensile
LinearElastic,relatedTo,Fracture
Fracture,has,PrecrackingProcess
FiberTensileStrength,isMeasuredUnderCondition,Conditions
Fracture,has,StrainRate
StrainRate,relatedTo,MechanicalProperty
PrecrackingProcess,relatedTo,FractureCharacteristics
PlasticElastic,has,FractureCharacteristics
Notch,relatedTo,MechanicalProperty
FlexuralStressAtYield,relatedTo,MechanicalProperty
PlasticElastic,has,SampleShape
FlexuralStressAtBreak,relatedTo,MechanicalProperty
Preload,relatedTo,Condition
FiberTensileStrength,relatedTo,Tensile
TensileModulus,isMeasuredUnderCondition,Conditions
Scale,relatedTo,Hardness
FlexuralToughness,isMeasuredUnderCondition,Conditions
Compression,isMeasuredUnderCondition,Preload
TensileStressAtYield,isMeasuredUnderCondition,Conditions
ShearStressAtBreak,relatedTo,Shear
PhysicalProperty,relatedTo,Property
CompressionStressAtBreak,relatedTo,Compression
PrecrackingProcess,relatedTo,Process
CompressionModulus,relatedTo,Compression
CompressionStressAtBreak,isMeasuredUnderCondition,Conditions
CompressionStressAtYield,relatedTo,MechanicalProperty
TensileModulus,relatedTo,Tensile
ShearStressAtYield,isMeasuredUnderCondition,Conditions
Impact,relatedTo,MechanicalProperty
TensileStressAtYield,relatedTo,Tensile
ShearStressAtYield,relatedTo,Shear
CompressiveTougness,relatedTo,Compression
FiberTensileModulus,relatedTo,Tensile
ShearModulus,relatedTo,Shear
PlasticElastic,has,JIntegral
EssentialWorkOfFracture,has,FractureCharacteristics
StrainRate,relatedTo,Condition
ElongationAtYield,relatedTo,Tensile
Notch,relatedTo,Impact
Tensile,isMeasuredUnderCondition,Conditions
Conditions,relatedTo,Condition
JIntegral,relatedTo,MechanicalProperty
HardnessValue,relatedTo,Hardness
EssentialWorkOfFracture,relatedTo,Fracture
CompressionStressAtBreak,relatedTo,MechanicalProperty
ElongationAtBreak,isMeasuredUnderCondition,Conditions
PlasticElastic,relatedTo,Fracture
TensileToughness,relatedTo,MechanicalProperty
CompressionModulus,relatedTo,MechanicalProperty
Tensile,isMeasuredUnderCondition,StrainRate
TestStandard,relatedTo,Hardness
ElongationAtBreak,relatedTo,Tensile
ShearStressAtBreak,isMeasuredUnderCondition,Conditions
FlexuralStressAtYield,isMeasuredUnderCondition,Conditions
Compression,relatedTo,MechanicalProperty
MechanicalProperty,relatedTo,PhysicalProperty
LinearElastic,has,FractureCharacteristics
FiberTensileStrength,relatedTo,MechanicalProperty
Shear,isMeasuredUnderCondition,Conditions
IZODImpactEnergy,relatedTo,MechanicalProperty
LinearElastic,has,SampleShape
CompressiveTougness,relatedTo,MechanicalProperty
PoissonRatio,isMeasuredUnderCondition,Conditions
LinearElastic,has,KFactor
Preload,relatedTo,Conditions
StrainRate,relatedTo,FractureCharacteristics
Flexural,isMeasuredUnderCondition,Conditions
FiberTensileModulus,isMeasuredUnderCondition,Conditions
Shear,isMeasuredUnderCondition,StrainRate
Fracture,has,FractureCharacteristics
FiberTensileElongation,isMeasuredUnderCondition,Conditions
Flexural,isMeasuredUnderCondition,StrainRate
TensileModulus,relatedTo,MechanicalProperty
PoissonRatio,relatedTo,Tensile
TensileStressAtBreak,relatedTo,Tensile
TensileStressAtYield,relatedTo,MechanicalProperty
FlexuralModulus,isMeasuredUnderCondition,Conditions
CharpyImpactEnergy,relatedTo,Impact
Shear,isMeasuredUnderCondition,Preload
CharpyImpactEnergy,relatedTo,MechanicalProperty
FiberTensileModulus,relatedTo,MechanicalProperty
FlexuralStressAtBreak,isMeasuredUnderCondition,Conditions
FiberTensileElongation,relatedTo,Tensile
ShearStressAtYield,relatedTo,MechanicalProperty
ElongationAtYield,relatedTo,MechanicalProperty
Scale,relatedTo,MechanicalProperty
SampleShape,relatedTo,MechanicalProperty
IZODImpactEnergy,relatedTo,Impact
FlexuralToughness,relatedTo,Flexural
FlexuralStressAtYield,relatedTo,Flexural
ElongationAtBreak,relatedTo,MechanicalProperty
CompressionStressAtYield,isMeasuredUnderCondition,Conditions
Tensile,isMeasuredUnderCondition,Preload
ElongationAtYield,isMeasuredUnderCondition,Conditions
ShearModulus,isMeasuredUnderCondition,Conditions
Tensile,relatedTo,MechanicalProperty
FlexuralToughness,relatedTo,MechanicalProperty
ShearStressAtBreak,relatedTo,MechanicalProperty
IZODArea,relatedTo,MechanicalProperty
CompressiveTougness,isMeasuredUnderCondition,Conditions
